
290; 180; w4;
 100; 180; z13;
180; 180; w7;
 140; 210; z13;
290; 30; w3;
 330; 30; z9;
20; 90; w12;
 180; 90; z3;
330; 60; w2;
 220; 30; z10;
220; 60; w9;
 220; 30; z3;
140; 90; w13;
 290; 90; z2;
330; 60; w9;
 180; 90; z5;
260; 90; w7;
 100; 30; z14;
20; 90; w8;
 260; 60; z15;
180; 30; w1;
 140; 60; z11;
20; 90; w7;
 260; 60; z15;
100; 60; w2;
 100; 30; z11;
220; 60; w4;
 220; 30; z8;
180; 30; w9;
 180; 90; z4;
180; 30; w1;
 180; 90; z8;
260; 90; w3;
 60; 90; z9;
290; 30; w4;
 370; 60; z9;
290; 30; w10;
 370; 60; z4;
100; 360; w13;
 140; 60; z7;
260; 30; w5;
 180; 30; z14;
330; 400; w7;
 220; 360; z16;
100; 400; w10;
 370; 400; z1;
100; 400; w6;
 370; 400; z15;
140; 30; w7;
 100; 360; z13;
100; 400; w10;
 100; 360; z2;
290; 360; w9;
 20; 400; z2;
330; 400; w7;
 370; 210; z15;
220; 400; w2;
 60; 30; z15;
370; 330; w2;
 60; 330; z14;
180; 360; w6;
 330; 360; z13;
100; 400; w5;
 60; 330; z14;
220; 400; w5;
 180; 330; z13;
20; 30; w13;
 20; 400; z7;
260; 30; w10;
 260; 400; z5;
180; 360; w6;
 290; 330; z13;
330; 400; w4;
 330; 360; z8;
100; 400; w1;
 290; 330; z14;
60; 360; w3;
 20; 400; z11;
20; 30; w1;
 370; 210; z15;
60; 360; w8;
 370; 210; z15;
370; 330; w2;
 180; 330; z13;
220; 400; w6;
 60; 30; z13;
140; 30; w6;
 140; 400; z16;
260; 30; w13;
 180; 330; z1;
370; 30; w5;
 370; 210; z13;
370; 30; w6;
 180; 330; z15;
260; 150; w4;
 220; 180; z11;
290; 180; w7;
 330; 180; z14;
60; 180; w11;
 220; 180; z4;
290; 180; w12;
 140; 210; z7;
260; 150; w12;
 100; 180; z3;
290; 180; w4;
 220; 180; z12;
180; 30; w12;
 220; 30; z2;
140; 90; w5;
 220; 30; z14;
330; 60; w5;
 180; 90; z15;
220; 60; w9;
 370; 60; z4;
330; 60; w7;
